,date,amount,transaction_id,rate,flat_fee,product,rate_fee,total_fees
124515,2021-01-01 12:30:21,465,pr_1609504220863091465,0.03,0.0,pr,13.95,13.95
92484,2021-01-01 12:43:25,68,pos_1609505004536921068,0.01,2.0,pos,0.68,2.68
51851,2021-01-01 12:43:25,68,pos_1609505004536921068,0.01,2.0,pos,0.68,2.68
100996,2021-01-01 12:58:16,977,pr_1609505896085831977,0.03,0.0,pr,29.31,29.31
59920,2021-01-01 13:00:16,722,pr_1609506015516020722,0.03,0.0,pr,21.66,21.66
27779,2021-01-01 13:20:07,156,pos_1609507206853100156,0.01,2.0,pos,1.56,3.56
35804,2021-01-01 13:25:44,3905,pr_1609507544118466905,0.03,0.0,pr,117.14999999999999,117.14999999999999
80794,2021-01-01 13:42:39,578,pp_1609508559001230578,0.025,2.0,pp,14.450000000000001,16.450000000000003
3567,2021-01-01 13:44:04,93,pr_1609508643610902093,0.03,0.0,pr,2.79,2.79
48015,2021-01-01 13:52:56,377,pr_1609509176348750377,0.03,0.0,pr,11.309999999999999,11.309999999999999
92707,2021-01-01 14:09:42,11,pos_1609510181597893011,0.01,2.0,pos,0.11,2.11
21425,2021-01-01 14:09:42,11,pos_1609510181597893011,0.01,2.0,pos,0.11,2.11
67736,2021-01-01 14:43:41,2003,pp_1609512221448294003,0.025,2.0,pp,50.075,52.075
138586,2021-01-01 14:45:24,114,pr_1609512324133365114,0.03,0.0,pr,3.42,3.42
128611,2021-01-01 14:50:09,229,pp_1609512609279434229,0.025,2.0,pp,5.7250000000000005,7.7250000000000005
110597,2021-01-01 14:55:18,487,pp_1609512918400870487,0.025,2.0,pp,12.175,14.175
124588,2021-01-01 15:02:38,27,pos_1609513358167362027,0.01,2.0,pos,0.27,2.27
32242,2021-01-01 15:03:51,31,pos_1609513431220200031,0.01,2.0,pos,0.31,2.31
132223,2021-01-01 15:08:00,1370,pr_1609513679751237370,0.03,0.0,pr,41.1,41.1
56761,2021-01-01 15:09:11,588,pr_1609513750559940588,0.03,0.0,pr,17.64,17.64
101339,2021-01-01 15:19:32,835,pr_1609514371601340835,0.03,0.0,pr,25.05,25.05
60979,2021-01-01 15:50:26,975,pr_1609516225977391975,0.03,0.0,pr,29.25,29.25
36283,2021-01-01 15:59:35,564,pr_1609516775202188564,0.03,0.0,pr,16.919999999999998,16.919999999999998
1848,2021-01-01 15:59:53,539,pr_1609516792527742539,0.03,0.0,pr,16.169999999999998,16.169999999999998
10711,2021-01-01 16:26:02,174,pr_1609518361658804174,0.03,0.0,pr,5.22,5.22
25056,2021-01-01 16:30:29,975,pr_1609518628583979975,0.03,0.0,pr,29.25,29.25
131116,2021-01-01 16:42:21,327,pr_1609519341397018327,0.03,0.0,pr,9.81,9.81
133144,2021-01-01 16:43:00,1210,pr_1609519380013505210,0.03,0.0,pr,36.3,36.3
16991,2021-01-01 16:49:00,31,pos_1609519739512084031,0.01,2.0,pos,0.31,2.31
33911,2021-01-01 16:49:00,31,pos_1609519739512084031,0.01,2.0,pos,0.31,2.31
63535,2021-01-01 17:19:19,327,pr_1609521558508994327,0.03,0.0,pr,9.81,9.81
15162,2021-01-01 18:28:19,400,pr_1609525698605855400,0.03,0.0,pr,12.0,12.0
117384,2021-01-01 18:34:34,580,pr_1609526074287363580,0.03,0.0,pr,17.4,17.4
67682,2021-01-01 19:31:39,902,pr_1609529498882727902,0.03,0.0,pr,27.06,27.06
32859,2021-01-01 20:45:14,109,pos_1609533914303226109,0.01,2.0,pos,1.09,3.09
97458,2021-01-01 20:45:14,109,pos_1609533914303226109,0.01,2.0,pos,1.09,3.09
96997,2021-01-01 21:40:44,2993,pr_1609537243797186993,0.03,0.0,pr,89.78999999999999,89.78999999999999
84115,2021-01-01 21:53:11,939,pp_1609537991427453939,0.025,2.0,pp,23.475,25.475
72797,2021-01-01 22:09:25,261,pp_1609538964984500261,0.025,2.0,pp,6.525,8.525
23025,2021-01-02 00:32:51,25,pos_1612139570574783025,0.01,2.0,pos,0.25,2.25
36319,2021-01-02 01:46:44,1646,pr_1612144003876224646,0.03,0.0,pr,49.379999999999995,49.379999999999995
19661,2021-01-02 02:52:02,587,pr_1612147921523041587,0.03,0.0,pr,17.61,17.61
139764,2021-01-02 02:56:32,1383,pr_1612148192212757383,0.03,0.0,pr,41.49,41.49
11829,2021-01-02 03:19:48,696,pr_1612149588243793696,0.03,0.0,pr,20.88,20.88
42066,2021-01-02 03:51:59,163,pr_1612151518565178163,0.03,0.0,pr,4.89,4.89
39417,2021-01-02 04:40:44,171,pr_1612154444061284171,0.03,0.0,pr,5.13,5.13
29302,2021-01-02 04:46:38,1858,pr_1612154798113974858,0.03,0.0,pr,55.739999999999995,55.739999999999995
117941,2021-01-02 04:50:46,1138,pr_1612155045923882138,0.03,0.0,pr,34.14,34.14
80322,2021-01-02 05:04:13,1789,pr_1612155853172890789,0.03,0.0,pr,53.669999999999995,53.669999999999995
52549,2021-01-02 05:39:10,209,pr_1612157949634316209,0.03,0.0,pr,6.27,6.27
123644,2021-01-02 06:08:01,3064,pp_1612159680697604064,0.025,2.0,pp,76.60000000000001,78.60000000000001
62007,2021-01-02 06:46:14,1288,pr_1612161973722102288,0.03,0.0,pr,38.64,38.64
2909,2021-01-02 07:06:24,516,pr_1612163183739461516,0.03,0.0,pr,15.479999999999999,15.479999999999999
19048,2021-01-02 07:31:37,744,pr_1612164696587779744,0.03,0.0,pr,22.32,22.32
7023,2021-01-02 07:32:34,680,pr_1612164753514305680,0.03,0.0,pr,20.4,20.4
94404,2021-01-02 07:36:24,310,pr_1612164984279240310,0.03,0.0,pr,9.299999999999999,9.299999999999999
14403,2021-01-02 07:41:19,614,pr_1612165278719772614,0.03,0.0,pr,18.419999999999998,18.419999999999998
102188,2021-01-02 08:01:43,972,pr_1612166503214467972,0.03,0.0,pr,29.16,29.16
23296,2021-01-02 08:13:55,441,pp_1612167235494906441,0.025,2.0,pp,11.025,13.025
122064,2021-01-02 08:17:41,1232,pp_1612167461070296232,0.025,2.0,pp,30.8,32.8
90296,2021-01-02 08:28:04,87,pr_1612168084180806087,0.03,0.0,pr,2.61,2.61
62809,2021-01-02 08:38:36,562,pr_1612168715753173562,0.03,0.0,pr,16.86,16.86
111240,2021-01-02 09:02:17,2407,pr_1612170136897550407,0.03,0.0,pr,72.21,72.21
43218,2021-01-02 09:21:31,960,pr_1612171290788965960,0.03,0.0,pr,28.799999999999997,28.799999999999997
9900,2021-01-02 09:35:15,62,pos_1612172115125301062,0.01,2.0,pos,0.62,2.62
31493,2021-01-02 09:35:16,2390,pr_1612172116489645390,0.03,0.0,pr,71.7,71.7
58377,2021-01-02 09:43:04,94,pr_1612172584040186094,0.03,0.0,pr,2.82,2.82
98067,2021-01-02 09:55:11,345,pr_1612173310675907345,0.03,0.0,pr,10.35,10.35
97556,2021-01-02 09:58:08,601,pr_1612173488498337601,0.03,0.0,pr,18.029999999999998,18.029999999999998
24728,2021-01-02 10:02:27,1407,pr_1612173746784045407,0.03,0.0,pr,42.21,42.21
79867,2021-01-02 10:09:47,1060,pp_1612174186828620060,0.025,2.0,pp,26.5,28.5
67202,2021-01-02 11:01:06,45,pos_1612177265794571045,0.01,2.0,pos,0.45,2.45
116863,2021-01-02 11:06:36,436,pr_1612177595573172436,0.03,0.0,pr,13.08,13.08
127205,2021-01-02 11:07:38,2036,pp_1612177657538346036,0.025,2.0,pp,50.900000000000006,52.900000000000006
52246,2021-01-02 11:21:49,2155,pp_1612178509217956155,0.025,2.0,pp,53.875,55.875
18334,2021-01-02 11:26:25,63,pos_1612178784928516063,0.01,2.0,pos,0.63,2.63
111688,2021-01-02 11:28:43,584,pp_1612178923266259584,0.025,2.0,pp,14.600000000000001,16.6
4819,2021-01-02 11:38:54,270,pr_1612179534119465270,0.03,0.0,pr,8.1,8.1
14920,2021-01-02 12:09:49,556,pr_1612181389287824556,0.03,0.0,pr,16.68,16.68
102871,2021-01-02 12:16:31,2329,pr_1612181790734892329,0.03,0.0,pr,69.86999999999999,69.86999999999999
136593,2021-01-02 12:21:40,1029,pr_1612182099707716029,0.03,0.0,pr,30.869999999999997,30.869999999999997
134787,2021-01-02 13:21:49,974,pr_1612185708642063974,0.03,0.0,pr,29.22,29.22
120577,2021-01-02 13:26:53,1686,pr_1612186013308373686,0.03,0.0,pr,50.58,50.58
74418,2021-01-02 13:28:50,264,pos_1612186130380078264,0.01,2.0,pos,2.64,4.640000000000001
48190,2021-01-02 13:32:30,597,pr_1612186350404750597,0.03,0.0,pr,17.91,17.91
85365,2021-01-02 13:40:13,619,pr_1612186813153877619,0.03,0.0,pr,18.57,18.57
38541,2021-01-02 13:41:38,1002,pr_1612186897510154002,0.03,0.0,pr,30.06,30.06
135637,2021-01-02 13:45:23,1691,pr_1612187122908465691,0.03,0.0,pr,50.73,50.73
17523,2021-01-02 14:03:34,5,pos_1612188214152371005,0.01,2.0,pos,0.05,2.05
64696,2021-01-02 14:04:59,595,pp_1612188299467652595,0.025,2.0,pp,14.875,16.875
6171,2021-01-02 14:06:20,1672,pr_1612188380449474672,0.03,0.0,pr,50.16,50.16
118797,2021-01-02 14:07:43,214,pr_1612188463131312214,0.03,0.0,pr,6.42,6.42
10800,2021-01-02 14:55:20,454,pr_1612191320194282454,0.03,0.0,pr,13.62,13.62
40012,2021-01-02 14:59:47,232,pr_1612191586659570232,0.03,0.0,pr,6.96,6.96
116382,2021-01-02 15:03:37,1238,pr_1612191817497039238,0.03,0.0,pr,37.14,37.14
93479,2021-01-02 15:10:45,1738,pr_1612192245295107738,0.03,0.0,pr,52.14,52.14
132746,2021-01-02 15:20:28,43,pos_1612192827581774043,0.01,2.0,pos,0.43,2.43
43790,2021-01-02 15:23:18,736,pr_1612192997547579736,0.03,0.0,pr,22.08,22.08
65313,2021-01-02 15:38:21,1599,pr_1612193901395436599,0.03,0.0,pr,47.97,47.97
103514,2021-01-02 15:41:31,447,pr_1612194090590860447,0.03,0.0,pr,13.41,13.41
8466,2021-01-02 16:27:06,90,pos_1612196826157472090,0.01,2.0,pos,0.9,2.9
50652,2021-01-02 16:29:42,1915,pr_1612196982456941915,0.03,0.0,pr,57.449999999999996,57.449999999999996
64248,2021-01-02 17:36:04,2053,pr_1612200964396227053,0.03,0.0,pr,61.589999999999996,61.589999999999996
83328,2021-01-02 17:48:34,54,pos_1612201714493336054,0.01,2.0,pos,0.54,2.54
84839,2021-01-02 17:54:43,114,pr_1612202083107916114,0.03,0.0,pr,3.42,3.42
7432,2021-01-02 18:13:41,855,pr_1612203221116439855,0.03,0.0,pr,25.65,25.65
88328,2021-01-02 18:25:16,1536,pr_1612203915637904536,0.03,0.0,pr,46.08,46.08
116519,2021-01-02 18:47:24,837,pr_1612205243912164837,0.03,0.0,pr,25.11,25.11
70779,2021-01-02 20:20:05,1079,pr_1612210805027960079,0.03,0.0,pr,32.37,32.37
69989,2021-01-02 20:26:25,737,pr_1612211184819021737,0.03,0.0,pr,22.11,22.11
48943,2021-01-02 21:20:19,1337,pr_1612214419447802337,0.03,0.0,pr,40.11,40.11
37118,2021-01-03 00:35:54,63,pos_1614558953808572063,0.01,2.0,pos,0.63,2.63
74723,2021-01-03 02:25:26,150,pos_1614565525694121150,0.01,2.0,pos,1.5,3.5
33796,2021-01-03 03:04:31,295,pr_1614567870587892295,0.03,0.0,pr,8.85,8.85
82505,2021-01-03 03:09:47,120,pos_1614568186521898120,0.01,2.0,pos,1.2,3.2
26611,2021-01-03 04:24:52,184,pr_1614572691777071184,0.03,0.0,pr,5.52,5.52
43668,2021-01-03 04:27:51,864,pr_1614572870526548864,0.03,0.0,pr,25.919999999999998,25.919999999999998
38206,2021-01-03 04:34:56,2490,pr_1614573296289760490,0.03,0.0,pr,74.7,74.7
26264,2021-01-03 04:50:16,1049,pp_1614574215704673049,0.025,2.0,pp,26.225,28.225
98354,2021-01-03 05:07:53,213,pos_1614575273334957213,0.01,2.0,pos,2.13,4.13
138555,2021-01-03 05:16:56,1015,pr_1614575815526695015,0.03,0.0,pr,30.45,30.45
73899,2021-01-03 05:23:33,2183,pr_1614576212645266183,0.03,0.0,pr,65.49,65.49
88772,2021-01-03 06:19:13,42,pr_1614579552611447042,0.03,0.0,pr,1.26,1.26
7861,2021-01-03 06:23:49,849,pr_1614579829396083849,0.03,0.0,pr,25.47,25.47
50245,2021-01-03 06:43:30,1206,pr_1614581010028284206,0.03,0.0,pr,36.18,36.18
139932,2021-01-03 07:12:24,55,pos_1614582744190280055,0.01,2.0,pos,0.55,2.55
18312,2021-01-03 07:29:24,492,pr_1614583764167960492,0.03,0.0,pr,14.76,14.76
39359,2021-01-03 07:35:47,689,pp_1614584147487594689,0.025,2.0,pp,17.225,19.225
134365,2021-01-03 08:01:30,184,pr_1614585689781830184,0.03,0.0,pr,5.52,5.52
51565,2021-01-03 08:27:38,1595,pp_1614587258475831595,0.025,2.0,pp,39.875,41.875
49792,2021-01-03 09:06:20,525,pr_1614589579907020525,0.03,0.0,pr,15.75,15.75
87991,2021-01-03 09:34:46,137,pos_1614591286391926137,0.01,2.0,pos,1.37,3.37
92449,2021-01-03 10:07:06,689,pr_1614593225879109689,0.03,0.0,pr,20.669999999999998,20.669999999999998
33639,2021-01-03 10:11:37,1230,pr_1614593496969941230,0.03,0.0,pr,36.9,36.9
5558,2021-01-03 10:44:19,49,pos_1614595459207028049,0.01,2.0,pos,0.49,2.49
123976,2021-01-03 10:48:41,58,pos_1614595720646155058,0.01,2.0,pos,0.58,2.58
52692,2021-01-03 11:13:53,1097,pp_1614597232679266097,0.025,2.0,pp,27.425,29.425
124839,2021-01-03 11:17:44,1662,pr_1614597463503992662,0.03,0.0,pr,49.86,49.86
64987,2021-01-03 11:30:32,969,pr_1614598231993162969,0.03,0.0,pr,29.07,29.07
139193,2021-01-03 11:34:57,102,pos_1614598496854520102,0.01,2.0,pos,1.02,3.02
99820,2021-01-03 12:04:04,72,pos_1614600243783105072,0.01,2.0,pos,0.72,2.7199999999999998
100843,2021-01-03 12:07:28,1309,pr_1614600447851290309,0.03,0.0,pr,39.269999999999996,39.269999999999996
62583,2021-01-03 12:17:09,2006,pr_1614601028869893006,0.03,0.0,pr,60.18,60.18
116285,2021-01-03 12:17:31,544,pp_1614601050994925544,0.025,2.0,pp,13.600000000000001,15.600000000000001
32928,2021-01-03 12:26:31,1807,pr_1614601590665102807,0.03,0.0,pr,54.21,54.21
44050,2021-01-03 12:35:18,106,pos_1614602117633869106,0.01,2.0,pos,1.06,3.06
20547,2021-01-03 12:52:58,1892,pr_1614603177801702892,0.03,0.0,pr,56.76,56.76
137698,2021-01-03 12:57:14,455,pr_1614603433715926455,0.03,0.0,pr,13.65,13.65
74665,2021-01-03 13:17:27,244,pp_1614604646786152244,0.025,2.0,pp,6.1000000000000005,8.100000000000001
43164,2021-01-03 13:23:23,203,pos_1614605003308135203,0.01,2.0,pos,2.0300000000000002,4.03
125606,2021-01-03 13:26:58,13,pr_1614605218254361013,0.03,0.0,pr,0.39,0.39
22,2021-01-03 13:32:59,48,pos_1614605578907974048,0.01,2.0,pos,0.48,2.48
28499,2021-01-03 13:33:38,1069,pr_1614605617742198069,0.03,0.0,pr,32.07,32.07
123041,2021-01-03 14:20:43,326,pr_1614608442665913326,0.03,0.0,pr,9.78,9.78
104782,2021-01-03 14:54:45,420,pr_1614610485052402420,0.03,0.0,pr,12.6,12.6
42941,2021-01-03 15:07:15,325,pr_1614611234980131325,0.03,0.0,pr,9.75,9.75
119187,2021-01-03 15:10:57,322,pr_1614611456604110322,0.03,0.0,pr,9.66,9.66
62142,2021-01-03 15:41:55,1026,pr_1614613314763915026,0.03,0.0,pr,30.779999999999998,30.779999999999998
85447,2021-01-03 15:49:55,799,pr_1614613794578981799,0.03,0.0,pr,23.97,23.97
48248,2021-01-03 15:57:52,3276,pr_1614614271733677276,0.03,0.0,pr,98.28,98.28
13751,2021-01-03 17:18:42,1217,pr_1614619122155850217,0.03,0.0,pr,36.51,36.51
50044,2021-01-03 17:29:25,1773,pr_1614619764996009773,0.03,0.0,pr,53.19,53.19
77809,2021-01-03 17:32:29,135,pr_1614619949317671135,0.03,0.0,pr,4.05,4.05
103727,2021-01-03 18:35:54,660,pr_1614623754424555660,0.03,0.0,pr,19.8,19.8
35348,2021-01-03 19:52:09,100,pos_1614628328759020100,0.01,2.0,pos,1.0,3.0
102968,2021-01-03 20:39:23,243,pp_1614631162527906243,0.025,2.0,pp,6.075,8.075
68095,2021-01-04 02:42:25,291,pr_1617244945359703291,0.03,0.0,pr,8.73,8.73
19860,2021-01-04 02:42:30,2163,pr_1617244950023262163,0.03,0.0,pr,64.89,64.89
64213,2021-01-04 02:46:58,1999,pp_1617245217679896999,0.025,2.0,pp,49.975,51.975
76794,2021-01-04 02:49:22,1230,pp_1617245362107658230,0.025,2.0,pp,30.75,32.75
72904,2021-01-04 03:33:31,174,pos_1617248010957441174,0.01,2.0,pos,1.74,3.74
108003,2021-01-04 03:45:51,1474,pp_1617248750772488474,0.025,2.0,pp,36.85,38.85
61071,2021-01-04 06:01:32,269,pr_1617256891774251269,0.03,0.0,pr,8.07,8.07
66772,2021-01-04 06:03:44,1139,pr_1617257023902829139,0.03,0.0,pr,34.17,34.17
135745,2021-01-04 06:12:24,1001,pp_1617257543607605001,0.025,2.0,pp,25.025000000000002,27.025000000000002
63291,2021-01-04 06:42:49,270,pr_1617259369202254270,0.03,0.0,pr,8.1,8.1
17168,2021-01-04 07:06:54,220,pos_1617260814233686220,0.01,2.0,pos,2.2,4.2
111147,2021-01-04 07:44:06,894,pp_1617263046141782894,0.025,2.0,pp,22.35,24.35
4024,2021-01-04 07:52:16,13,pos_1617263535626511013,0.01,2.0,pos,0.13,2.13
92193,2021-01-04 07:59:36,89,pr_1617263975808638089,0.03,0.0,pr,2.67,2.67
82177,2021-01-04 08:17:28,965,pr_1617265048442180965,0.03,0.0,pr,28.95,28.95
29134,2021-01-04 08:41:53,951,pp_1617266513459930951,0.025,2.0,pp,23.775000000000002,25.775000000000002
129787,2021-01-04 08:57:39,2521,pr_1617267458630538521,0.03,0.0,pr,75.63,75.63
74322,2021-01-04 09:00:57,73,pos_1617267656655444073,0.01,2.0,pos,0.73,2.73
133821,2021-01-04 09:21:43,1708,pr_1617268903220148708,0.03,0.0,pr,51.239999999999995,51.239999999999995
36749,2021-01-04 09:26:03,2375,pr_1617269162971433375,0.03,0.0,pr,71.25,71.25
21315,2021-01-04 09:27:05,1661,pr_1617269224665572661,0.03,0.0,pr,49.83,49.83
58247,2021-01-04 09:48:48,690,pr_1617270527575275690,0.03,0.0,pr,20.7,20.7
39882,2021-01-04 09:56:55,42,pr_1617271014577909042,0.03,0.0,pr,1.26,1.26
105757,2021-01-04 10:16:59,202,pos_1617272218523800202,0.01,2.0,pos,2.02,4.02
92741,2021-01-04 10:21:24,1181,pr_1617272483527424181,0.03,0.0,pr,35.43,35.43
81937,2021-01-04 11:09:23,5,pos_1617275362903124005,0.01,2.0,pos,0.05,2.05
131064,2021-01-04 11:13:43,232,pr_1617275623056519232,0.03,0.0,pr,6.96,6.96
7015,2021-01-04 11:18:01,36,pr_1617275880573401036,0.03,0.0,pr,1.08,1.08
68837,2021-01-04 11:32:00,744,pr_1617276719520715744,0.03,0.0,pr,22.32,22.32
114372,2021-01-04 11:33:40,702,pr_1617276820253601702,0.03,0.0,pr,21.06,21.06
78749,2021-01-04 11:33:48,640,pr_1617276827532602640,0.03,0.0,pr,19.2,19.2
34132,2021-01-04 11:41:14,358,pos_1617277274281542358,0.01,2.0,pos,3.58,5.58
16660,2021-01-04 11:41:21,1724,pr_1617277281377010724,0.03,0.0,pr,51.72,51.72
66498,2021-01-04 11:44:15,1512,pr_1617277455109779512,0.03,0.0,pr,45.36,45.36
54116,2021-01-04 11:48:22,869,pp_1617277701962301869,0.025,2.0,pp,21.725,23.725
81266,2021-01-04 11:51:15,87,pos_1617277874924721087,0.01,2.0,pos,0.87,2.87
21208,2021-01-04 12:28:51,1721,pr_1617280131215306721,0.03,0.0,pr,51.629999999999995,51.629999999999995
80412,2021-01-04 12:36:39,1587,pp_1617280599074090587,0.025,2.0,pp,39.675000000000004,41.675000000000004
26170,2021-01-04 12:37:16,1055,pr_1617280636232387055,0.03,0.0,pr,31.65,31.65
104069,2021-01-04 12:39:20,408,pr_1617280759766206408,0.03,0.0,pr,12.24,12.24
106068,2021-01-04 12:49:38,777,pr_1617281377997393777,0.03,0.0,pr,23.31,23.31
13021,2021-01-04 13:14:47,2761,pr_1617282886528338761,0.03,0.0,pr,82.83,82.83
59851,2021-01-04 13:44:49,230,pr_1617284688821800230,0.03,0.0,pr,6.8999999999999995,6.8999999999999995
28423,2021-01-04 14:09:10,499,pr_1617286149522888499,0.03,0.0,pr,14.969999999999999,14.969999999999999
18974,2021-01-04 14:13:25,1264,pr_1617286404630129264,0.03,0.0,pr,37.92,37.92
83859,2021-01-04 14:16:21,311,pr_1617286580889524311,0.03,0.0,pr,9.33,9.33
86873,2021-01-04 14:17:52,83,pr_1617286672489764083,0.03,0.0,pr,2.4899999999999998,2.4899999999999998
98972,2021-01-04 14:56:23,578,pr_1617288983095990578,0.03,0.0,pr,17.34,17.34
46421,2021-01-04 15:39:45,1341,pr_1617291585101571341,0.03,0.0,pr,40.23,40.23
138001,2021-01-04 15:44:09,310,pp_1617291849148589310,0.025,2.0,pp,7.75,9.75
116591,2021-01-04 15:48:57,114,pos_1617292137265635114,0.01,2.0,pos,1.1400000000000001,3.14
91559,2021-01-04 16:16:15,30,pos_1617293774507681030,0.01,2.0,pos,0.3,2.3
10149,2021-01-04 16:18:42,1593,pp_1617293921745217593,0.025,2.0,pp,39.825,41.825
20567,2021-01-04 16:21:17,18,pos_1617294076627081018,0.01,2.0,pos,0.18,2.18
42836,2021-01-04 16:33:09,1207,pp_1617294789163674207,0.025,2.0,pp,30.175,32.175
16653,2021-01-04 16:46:03,59,pos_1617295563178412059,0.01,2.0,pos,0.59,2.59
91132,2021-01-04 16:50:05,1489,pp_1617295805180063489,0.025,2.0,pp,37.225,39.225
37804,2021-01-04 17:00:44,136,pos_1617296443779835136,0.01,2.0,pos,1.36,3.3600000000000003
123637,2021-01-04 17:25:04,1334,pp_1617297904358656334,0.025,2.0,pp,33.35,35.35
41215,2021-01-04 17:48:19,28,pos_1617299298506246028,0.01,2.0,pos,0.28,2.2800000000000002
79302,2021-01-04 18:06:51,527,pp_1617300410582385527,0.025,2.0,pp,13.175,15.175
71529,2021-01-04 18:24:14,1139,pr_1617301453680234139,0.03,0.0,pr,34.17,34.17
70241,2021-01-04 18:29:34,885,pr_1617301773598347885,0.03,0.0,pr,26.55,26.55
74776,2021-01-04 18:52:13,877,pr_1617303132805777877,0.03,0.0,pr,26.31,26.31
83786,2021-01-04 19:56:17,5,pos_1617306977412246005,0.01,2.0,pos,0.05,2.05
24118,2021-01-04 20:16:34,28,pos_1617308193990274028,0.01,2.0,pos,0.28,2.2800000000000002
127887,2021-01-04 20:31:42,1208,pr_1617309101632600208,0.03,0.0,pr,36.24,36.24
98828,2021-01-05 01:23:01,3415,pr_1619832180950468415,0.03,0.0,pr,102.45,102.45
92148,2021-01-05 02:00:53,267,pos_1619834452890735267,0.01,2.0,pos,2.67,4.67
141472,2021-01-05 03:31:00,1555,pr_1619839859875549555,0.03,0.0,pr,46.65,46.65
101790,2021-01-05 03:33:18,119,pos_1619839998224486119,0.01,2.0,pos,1.19,3.19
37001,2021-01-05 03:34:21,1094,pr_1619840060636415094,0.03,0.0,pr,32.82,32.82
120726,2021-01-05 03:37:48,380,pr_1619840268024137380,0.03,0.0,pr,11.4,11.4
81185,2021-01-05 05:34:04,1156,pr_1619847243709058156,0.03,0.0,pr,34.68,34.68
107204,2021-01-05 05:49:22,173,pos_1619848162024125173,0.01,2.0,pos,1.73,3.73
